2.200	Aspen Technology's shares dropped 74 cents, or 23 percent, to close at $2.48 on the Nasdaq.	In afternoon trading, Aspen's shares were off 89 cents or more than 27 percent at $2.33 per share.
3.2	china's council of agriculture opens a special office in charge of agricultural technology transfers and intellectual property rights management and consultancy to enhance development of china's knowledge-based agriculture and applications of agricultural technology. 	lee stated that the coa has spent the past several years setting up relevant mechanisms and drafting a set of promotional measures to enhance development of china's knowledge-based agriculture and applications of agricultural technology.
3	iranian parliamentary speaker gholam-ali haddad-adel visited cuba. 	the agreements were signed during iranian majlis (parliament) speaker gholam-ali haddad-adel's visit to cuba.
2.6	tibet suspects chinese government of creating the virus to spy on tibetan exiles and the dalai lama. 	tibet suspects chinese government of launching the attack.
1	chinese authorities were not immediately available for comment. 	godzhayev and godzhayev's lawyers were not immediately available to comment.
0.4	the european union and the united states have frozen al-qadi's assets. 	the western governments include the united states and france.
1	the chinese government has strengthened china's anti-proliferation capacity in recent years. 	the chinese government has strictly censored china's chemical imports and exports according to the law in recent years.
4.2	a group representing mainly white south africans called afriforum stated it would organize protests along the route to zimbabwe. 	afriforum stated that the group would organize protests along the route to zimbabwe.
3.6	putin announced that the cfe treaty does not duly protect russia's security interests. 	the cfe treaty does not duly protect the russian federation's security interests.
3.4	ahmad is fighting extradition to the united states and lodged a formal complaint alleging that british police concocted intelligence reports to implicate ahmad in terror activities and desecrated the koran. 	ahmad lodged a formal complaint with the independent police complaints commission alleging that british police concocted intelligence reports to implicate ahmad in terror activities and desecrated ahmad's copy of the islamic holy book the koran by putting the koran on the floor during a search of ahmad's home.
3.6	russia has ratified the amended version but the united states and other nato members have refused to do so until the russian government withdraws troops from the former soviet republics of moldova and georgia. 	the united states and other nato members have refused to ratify the amended version until russia withdraws troops from former soviet republics moldova and georgia.
0.8	the part of the purpose of the united states plan is to increase pressure on north korea. 	the united states and the allies of the united states believe iran is pursuing nuclear arms.
